cohort_month,0,1,2,3,4,5,6,7,8,9,10,11
2024-01,100.0,11.475409836065573,26.229508196721312,18.0327868852459,18.0327868852459,14.754098360655737,9.836065573770492,29.508196721311474,18.0327868852459,19.672131147540984,22.950819672131146,11.475409836065573
2024-02,100.0,11.11111111111111,16.666666666666664,13.88888888888889,19.444444444444446,5.555555555555555,5.555555555555555,30.555555555555557,25.0,8.333333333333332,16.666666666666664,
2024-03,100.0,21.951219512195124,14.634146341463413,9.75609756097561,17.073170731707318,12.195121951219512,9.75609756097561,24.390243902439025,21.951219512195124,12.195121951219512,,
2024-04,100.0,8.695652173913043,30.434782608695656,13.043478260869565,17.391304347826086,8.695652173913043,21.73913043478261,21.73913043478261,21.73913043478261,,,
2024-05,100.0,12.5,12.5,20.833333333333336,4.166666666666666,20.833333333333336,16.666666666666664,20.833333333333336,,,,
2024-06,100.0,22.22222222222222,16.666666666666664,16.666666666666664,16.666666666666664,27.77777777777778,16.666666666666664,,,,,
2024-07,100.0,30.76923076923077,15.384615384615385,46.15384615384615,15.384615384615385,30.76923076923077,,,,,,
2024-08,100.0,43.75,31.25,18.75,12.5,,,,,,,
2024-09,100.0,7.142857142857142,7.142857142857142,42.857142857142854,,,,,,,,
2024-10,100.0,9.090909090909092,9.090909090909092,,,,,,,,,
2024-11,100.0,,,,,,,,,,,
2024-12,100.0,,,,,,,,,,,
